화면ID,nctRid,P클래스,P메서드,F클래스,F메서드,D클래스,D메서드,XSQL_STMT_ID,비고
U-PPLA047,RPLA04701,PPLA047,pPLA04701,FPLA047,fPLA047QrySelectMainList,DPLA047,dPLA04702,S002,
U-PPLA047,RPLA04701,PPLA047,pPLA04701,FPLA047,fPLA047QrySelectMainList,DPLA047,dPLA04703,S003,
U-PPLA047,RPLA04701,PPLA047,pPLA04701,FPLA047,fPLA047QrySelectMainList,DPLA047,dPLA04704,S004,
U-PPLA047,RPLA04701,PPLA047,pPLA04701,FPLA047,fPLA047QrySelectMainList,DPLA047,dPLA04705,S005,
U-PPLA047,RPLA04702,PPLA047,pPLA04702,FPLA047,fPLA047QrySelectRev,DPLA047,dPLA04701,S001,
U-PPLA047,RPLA04703,PPLA047,pPLA04703,FPLA047,fPLA047QrySelectRevPeriod,DPLA047,dPLA04706,S006,
